Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Strychnos decussata,T,,,0.523,,,,,
Suregada zanzibariensis,T,,2.20,0.415,0.610,,,,
Wrightia natalensis,T,,1.69,0.672,0.365,,,,
Buxus macowanii,T,,2.26,0.547,0.807,,,,
Cussonia spicata,T,,2.07,0.209,0.279,,,,
Ekebergia capensis,T,,2.20,0.037,0.236,,,,
Harpephyllum caffrum,T,,2.32,0.031,0.355,,,,
Hippobromus pauciflorus,T,,2.06,0.320,0.376,,,,
Olea capensis,T,,2.31,0.139,0.448,,,,
Olea europaea ssp africana,T,,2.28,0.026,0.305,,,,
Olea woodiana,T,,2.20,0.132,0.330,,,,
Podocarpus falcatus,T,,2.40,0.008,0.405,,,,
Ptaeroxylon obliquum,T,,1.93,0.392,0.322,,,,
Scolopia zeyheri,T,,2.25,0.261,0.516,,,,
Sideroxylon inerme,T,,2.28,0.270,0.549,,,,
Teclea natalensis,T,,1.77,0.599,0.373,,,,
Trichocladus ellipticus,T,,2.22,0.163,0.387,,,,
Umtiza listeriana,T,,1.94,0.475,0.419,,,,
Vepris undulata,T,,1.80,0.574,0.379,,,,
Zanthoxylum capense,T,,1.94,0.427,0.367,,,,
Castanopsis sieboldii,T,,2.19,0.255,0.446,,,,
Quercus myrsinaefolia,T,,2.13,0.322,0.453,,,,
Machilus thunbergii,T,,2.10,0.204,0.301,,,,
Neolitsea sericea,T,,2.08,0.230,0.310,,,,
Prosopis glandulosa,T,0.83,1.97,0.447,0.422,,,,
Acer platanoides,T,,1.68,,,,,,
Alnus glutinosa,T,,1.89,,,,,,
Alnus incana,T,,1.83,,,,,,
Betula pendula,T,,1.88,,,,,,
Betula pubescens,T,,1.80,,,,,,
Cerasus vulgaris,T,,1.43,,,,,,
Fraxinus excelsior,T,,1.92,,,,,,
Malus domestica,T,,1.59,,,,,,
Malus sylvestris,T,,1.71,,,,,,
Padus avium,T,,1.59,,,,,,
Populus tremula,T,,1.94,,,,,,
Pyrus pyraster,T,,1.95,,,,,,
Quercus robur,T,,1.78,,,,,,
Salix acutifolia,T,,1.76,,,,,,
Salix alba,T,,2.00,,,,,,
Salix alba fraxinus,T,,1.89,,,,,,
Salix caprea,T,,1.78,,,,,,
Salix daphnoides,T,,1.97,,,,,,
Salix fragilus,T,,2.06,,,,,,
Salix pentandra,T,,1.84,,,,,,
Sorbus aria,T,,1.93,,,,,,
Sorbus aucuparia,T,,1.82,,,,,,
Sorbus intermedia,T,,1.92,,,,,,
Taxus baccata,T,,1.89,,,,,,
Tilia cordata,T,,1.41,,,,,,
Ulmus glabra,T,,1.59,,,,,,
Ulmus laevis,T,,1.72,,,,,,
Populus tremula,T,,2.01,0.332,0.341,,,,
Fraxinus excelsior,T,,1.90,0.260,0.157,,,,
Tilia cordata,T,,1.88,0.377,0.257,,,,
Castanopsis sieboldii,T,1.48,,,,,,,
Quercus salicina,T,1.38,,,,,,,
Quercus acuta,T,1.54,,,,,,,
Machilus thunbergii,T,1.32,,,,,,,
Neolitsea sericea,T,1.52,,,,,,,
Cinnamomum japonicum,T,1.75,,,,,,,
Myrsine seguinii,T,1.71,,,,,,,
Symplocos prunifolia,T,1.26,,,,,,,
Illicium anisatum,T,1.44,,,,,,,
Cleyera japonica,T,1.48,,,,,,,
Eurya japonica,T,1.48,,,,,,,
Astronium graveolens,T,0.94,1.77,0.422,0.196,,,,
Bauhinia megalandra,T,0.98,1.47,0.495,-0.041,,,,
Bursera simaruba,T,0.95,1.70,0.432,0.133,,,,
Capparis flexuosa,T,1.08,1.95,0.518,0.462,,,,
Erythroxylum cumanense,T,0.97,1.82,0.493,0.317,,,,
Erythroxylum densum,T,1.08,1.88,0.420,0.226,,,,
Erythroxylum orinocense,T,0.94,1.69,0.452,0.146,,,,
Eugenia caseariodes,T,0.98,1.81,0.460,0.172,,,,
Sapindus saponaria,T,0.98,1.71,0.452,0.120,,,,
Tabebuia chrysantha,T,0.95,1.65,0.454,0.101,,,,
Chionanthus sp1,T,1.17,2.03,0.215,0.247,,,,
Diplospora malaccensis,T,1.35,2.03,0.364,0.392,,,,
Dipterocarpus sublamellatus,T,1.11,2.13,0.212,0.340,,,,
Elateriospermum tapos,T,1.06,2.06,0.228,0.292,,,,
Eugenia rugosa,T,1.37,2.20,0.072,0.275,,,,
Ganua sp1,T,1.27,2.30,0.148,0.447,,,,
Homalium dictyoneurum,T,1.54,1.91,0.275,0.184,,,,
Macaranga lowii,T,1.28,1.90,0.190,0.088,,,,
Mangifera foetida,T,1.36,2.15,0.088,0.240,,,,
Monocarpia marginalis,T,1.42,1.82,0.555,0.374,,,,
Ptychopyxis caput-medusae,T,0.85,2.10,0.230,0.334,,,,
Xanthophyllum stipitatum,T,1.16,2.09,0.303,0.395,,,,
Aporosa bracteosa,T,,1.90,,,,,,
Aporosa lunata,T,,2.09,,,,,,
Aporosa microstachya,T,,1.66,,,,,,
Baccaurea parviflora,T,,1.94,,,,,,
Baccaurea racemosa,T,,2.10,,,,,,
Baccaurea reticulata,T,,2.06,,,,,,
Diospyros cauliflora,T,,1.87,,,,,,
Diospyros maingayi,T,,2.29,,,,,,
Diospyros nutans,T,,2.03,,,,,,
Garcinia bancana,T,,2.20,,,,,,
Garcinia malaccensis,T,,2.09,,,,,,
Garcinia small sp,T,,1.88,,,,,,
Aegiphila lhotzkiana,T,,2.08,0.427,0.506,,,,
Annona coriaceae,T,,2.17,0.320,0.493,,,,
Aspidosperma tomentosum,T,,2.15,0.013,0.162,,,,
Bauhinia holophylla,T,,2.16,0.384,0.539,,,,
Bowdichia virgilioides,T,,2.23,0.375,0.600,,,,
Campomanesia aromatica,T,,2.17,0.170,0.343,,,,
Caryocar brasiliense,T,,2.07,0.276,0.348,,,,
Connarus suberosus,T,,2.17,0.188,0.361,,,,
Davilla rugosa,T,,2.22,0.146,0.366,,,,
Didymopanax vinosum,T,,2.17,0.260,0.430,,,,
Duguetia furfuracea,T,,2.22,0.276,0.499,,,,
Gochnatia floribunda,T,,2.23,0.207,0.432,,,,
Kielmeyera coriacea,T,,2.31,0.037,0.349,,,,
Miconia albicans,T,,2.18,0.164,0.349,,,,
Miconia ligustroides,T,,2.12,0.188,0.305,,,,
Piptocarpha rotundifolia,T,,2.20,0.294,0.499,,,,
Qualea dichotoma,T,,2.16,0.179,0.334,,,,
Styrax camporum,T,,2.32,0.215,0.537,,,,
Tibouchina stenocarpa,T,,2.13,0.207,0.340,,,,
Tocoyena formosa,T,,2.20,0.270,0.468,,,,
Callitris intratropica,T,,2.35,0.045,0.392,,,,
Cochlospermum fraseri,T,0.52,1.78,0.246,0.023,,,,
Corymbia foelscheana,T,0.99,2.35,-0.108,0.239,,,,
Melaleuca viridiflora,T,1.01,2.37,-0.114,0.253,,,,
Planchonia careya,T,0.93,2.00,0.204,0.208,,,,
Syzygium eucalyptoides ssp bleeseri,T,1.05,2.10,0.064,0.167,,,,
Terminalia ferdinandiana,T,0.68,2.08,0.182,0.263,,,,
Xanthostemon paradoxus,T,1.02,2.14,0.061,0.197,,,,
Brachychiton megaphyllus,T,0.85,1.99,0.305,0.297,,,,
Buchanania obovata,T,1.04,2.21,0.061,0.275,,,,
Erythrophleum chlorostachys,T,0.98,2.00,0.358,0.358,,,,
Eucalyptus tetrodonta,T,0.91,2.26,-0.149,0.111,,,,
Planchonia careya,T,0.85,1.92,0.260,0.185,,,,
Syzygium suborbiculare,T,0.98,2.14,0.079,0.222,,,,
Terminalia ferdinandiana,T,0.72,2.00,0.179,0.183,,,,
Eucalyptus clavigera,T,,2.15,0.017,0.163,,,,
Eucalyptus miniata,T,,2.09,0.230,0.324,,,,
Acacia auriculiformis,T,1.00,2.02,0.394,0.417,,,,
Lophostemon lactifluus,T,0.94,2.08,-0.018,0.063,,,,
Melaleuca viridiflora,T,0.99,2.36,-0.215,0.142,,,,
Ficus racemosa,T,0.78,1.82,0.382,0.200,,,,
Ficus scobina,T,0.68,1.92,0.479,0.399,,,,
Mallotus nesophilus,T,0.70,1.88,0.350,0.230,,,,
Melaleuca leucadendra,T,0.91,2.17,0.021,0.195,,,,
Terminalia microcarpa,T,0.85,1.92,0.358,0.279,,,,
Wrightia pubescens,T,0.83,1.72,0.511,0.227,,,,
Abies lasiocarpa,T,1.98,2.41,0.013,0.418,,,,
Picea engelmanii,T,1.95,2.49,0.013,0.498,,,,
Pinus flexilis,T,1.56,2.56,0.049,0.613,,,,
Salix glauca,T,0.48,1.91,0.420,0.331,,,,
Salix planifolia,T,0.48,1.91,0.427,0.337,,,,
Acer rubrum,T,0.72,1.80,0.264,0.060,,,,
Kalmia latifolia,T,1.56,2.02,0.061,0.085,,,,
Liriodendron tulipifera,T,0.72,1.78,0.350,0.133,,,,
Pinus rigida,T,1.52,2.31,0.064,0.375,,,,
Pinus strobus,T,1.32,2.04,0.130,0.167,,,,
Quercus coccinea,T,0.76,1.93,0.238,0.166,,,,
Rhododendron maximum,T,1.68,2.31,-0.066,0.245,,,,
Robinia pseudoacacia,T,0.66,1.58,0.636,0.215,,,,
Tsuga canadensis,T,1.78,2.09,-0.004,0.084,,,,
Baccharis angustifolia,T,0.40,1.98,0.290,0.269,,,,
Eleagnus angustifolia,T,0.48,1.91,0.600,0.506,,,,
Juniperus monosperma,T,1.89,2.89,0.068,0.961,,,,
Pinus edulis,T,1.82,2.61,0.025,0.636,,,,
Populus fremontii,T,0.48,2.08,0.220,0.297,,,,
Prosopis glandulosa,T,0.85,2.29,0.396,0.687,,,,
Quercus turbinella,T,0.90,2.18,0.188,0.368,,,,
Pinus palustris,T,1.51,2.41,-0.086,0.321,,,,
Pinus serotina,T,1.43,2.44,-0.086,0.359,,,,
Quercus laevis,T,0.88,2.01,0.061,0.071,,,,
Quercus virginia var geminata,T,1.04,2.20,0.188,0.389,,,,
Taxodium distichum,T,0.81,2.11,0.076,0.183,,,,
Aspidosperma album,T,1.52,2.08,0.029,0.112,,,,
Bellucia grossularioides,T,0.92,2.11,0.228,0.335,,,,
Caraipa heterocarpa,T,1.59,2.17,-0.032,0.137,,,,
Cecropia ficifolia,T,0.43,1.84,0.393,0.233,,,,
Clidemia sericea,T,0.71,1.90,0.217,0.116,,,,
Eperua leucantha,T,1.64,2.02,0.097,0.119,,,,
Eperua purpurea,T,1.63,,0.182,,,,,
Goupia glabra,T,1.06,1.89,0.179,0.065,,,,
Leguminosae sp,T,1.70,2.14,0.330,0.472,,,,
Licania heteromorpha,T,1.60,2.17,0.114,0.286,,,,
Miconia dispar,T,1.08,2.04,0.201,0.246,,,,
Micrandra sprucei,T,1.70,2.23,0.033,0.267,,,,
Micropholis magueirei,T,1.70,2.26,-0.097,0.160,,,,
Neea obovata,T,1.08,1.99,0.265,0.252,,,,
Ocotea costulata,T,1.59,2.11,0.176,0.291,,,,
Protium sp1,T,1.52,2.06,-0.066,-0.003,,,,
Protium sp2,T,1.54,2.09,0.248,0.334,,,,
Protium sp3,T,1.71,2.24,0.013,0.249,,,,
Retiniphyllum truncatum,T,1.22,2.08,-0.167,-0.086,,,,
Rhodognaphalopsis humilis,T,1.38,2.12,-0.108,0.016,,,,
Solanum straminifolia,T,0.30,1.54,0.593,0.135,,,,
Vismia japurensis,T,0.84,1.98,0.215,0.192,,,,
Vismia lauriformis,T,0.65,1.94,0.253,0.195,,,,
Acer rubrum,T,0.74,1.78,0.322,0.102,,,,
Acer saccharum,T,0.74,1.90,0.267,0.170,,,,
Betula nigra,T,0.72,1.93,0.358,0.286,,,,
Betula pumilla,T,0.78,2.03,0.179,0.210,,,,
Carya ovata,T,0.75,1.95,0.297,0.247,,,,
Celtis occidentalis,T,0.74,1.92,0.378,0.296,,,,
Cornus florida,T,0.75,1.97,0.146,0.113,,,,
Fraxinus americana,T,0.76,1.86,0.297,0.157,,,,
Juglans nigra,T,0.70,1.52,0.471,-0.013,,,,
Juniperus virginiana,T,,2.52,0.215,0.738,,,,
Larix decidua,T,0.78,1.86,0.322,0.179,,,,
Larix laricina,T,0.78,2.08,0.155,0.235,,,,
Picea glauca,T,1.78,2.46,0.093,0.549,,,,
Picea mariana,T,1.78,2.47,0.083,0.551,,,,
Pinus banksiana,T,1.43,2.39,0.093,0.481,,,,
Pinus resinosa,T,1.56,2.47,0.068,0.537,,,,
Pinus strobus,T,1.32,2.13,0.230,0.361,,,,
Pinus sylvestris,T,1.43,2.47,0.143,0.612,,,,
Populus deltoides,T,0.70,1.96,0.373,0.332,,,,
Populus tremuloides,T,0.70,1.92,0.344,0.262,,,,
Prunus serotina,T,0.74,2.00,0.316,0.320,,,,
Quercus ellipsoidalis,T,0.78,2.02,0.322,0.344,,,,
Quercus macrocarpa,T,0.78,1.94,0.371,0.314,,,,
Thuja occidentalis,T,1.68,2.35,-0.119,0.229,,,,
Ulmus americana,T,0.76,2.08,0.286,0.361,,,,
Acer negundo,T,,1.57,0.398,-0.033,,,,
Acer pensylvanicum,T,,1.48,0.279,-0.420,,,,
Acer rubrum,T,,1.89,0.301,0.187,,,,
Acer saccharum,T,,1.67,0.342,0.014,,,,
Rhus typhina,T,,1.82,0.491,0.310,,,,
Alnus rugosa,T,,1.78,0.477,0.254,,,,
Betula alleghaniensis,T,,1.66,0.342,0.006,,,,
Betula papyrifera,T,,1.86,0.342,0.206,,,,
Carpinus caroliniana,T,,1.73,0.301,0.034,,,,
Ostrya virginiana,T,,1.57,0.342,-0.089,,,,
Cornus alternifolia,T,,1.60,0.230,-0.167,,,,
Fagus grandifolia,T,,1.73,0.322,0.055,,,,
Quercus alba,T,,1.68,0.342,0.024,,,,
Quercus rubra,T,,1.74,0.255,-0.005,,,,
Quercus macrocarpa,T,,1.98,0.322,0.305,,,,
Carya cordiformis,T,,1.64,0.415,0.059,,,,
Carya ovata,T,,1.72,0.342,0.059,,,,
Juglans cinerea,T,,1.79,0.415,0.200,,,,
Fraxinus americana,T,,1.82,0.322,0.140,,,,
Fraxinus nigra,T,,1.86,0.322,0.179,,,,
Fraxinus pennsylvanica,T,,1.94,0.255,0.198,,,,
Prunus serotina,T,,1.78,0.431,0.209,,,,
Prunus pennsylvanica,T,,1.70,0.380,0.079,,,,
Prunus virginiana,T,,1.92,0.447,0.372,,,,
Malus sp,T,,1.90,0.398,0.294,,,,
Populus balsamifera,T,,1.85,0.301,0.152,,,,
Populus deltoides,T,,1.85,0.380,0.231,,,,
Populus grandidentata,T,,1.80,0.398,0.197,,,,
Populus tremuloides,T,,1.90,0.415,0.311,,,,
Salix nigra,T,,1.75,0.398,0.145,,,,
Tilia americana,T,,1.74,0.477,0.217,,,,
Ulmus americana,T,,1.79,0.380,0.173,,,,
Ulmus rubra,T,,1.78,0.398,0.175,,,,
Ulmus thomasii,T,,1.81,0.362,0.169,,,,
Acacia mimula,T,,2.27,0.378,0.648,,,,
Buchanania obovata,T,,2.12,0.244,0.362,,,,
Erythrophleum chlorostachys,T,,1.96,0.373,0.337,,,,
Eucalyptus clavigera,T,,2.27,0.084,0.352,,,,
Eucalyptus miniata,T,,2.26,0.046,0.306,,,,
Eucalyptus porrecta,T,,2.11,0.089,0.198,,,,
Eucalyptus tectifica,T,,2.12,0.204,0.323,,,,
Eucalyptus tetradonta,T,,2.35,-0.042,0.305,,,,
Livistona humilis,T,,2.37,0.053,0.425,,,,
Planchonia careya,T,,2.05,0.309,0.362,,,,
Xanthostemon paradoxus,T,,2.11,0.171,0.282,,,,
Buchanania obovata,T,,2.21,0.064,0.272,,,,
Eucalyptus bleeseri,T,,2.36,-0.045,0.314,,,,
Eucalyptus conferiflora,T,,2.15,0.070,0.217,,,,
Eucalyptus miniata,T,,2.33,0.039,0.366,,,,
Eucalyptus tectifica,T,,2.32,0.030,0.351,,,,
Eucalyptus tetrodonta,T,,2.41,-0.035,0.370,,,,
Lysiphyllum cunninghamii,T,,2.16,0.186,0.345,,,,
Planchonia careya,T,,2.20,0.258,0.463,,,,
Acacia holosericea,T,,2.45,0.290,0.736,,,,
Eucalyptus brevifolia,T,,2.47,-0.086,0.382,,,,
Eucalyptus pruinosa,T,,2.38,0.027,0.409,,,,
Eucalyptus pruinosa,T,,2.35,0.122,0.470,,,,
Eucalyptus tectifica,T,,2.42,0.040,0.462,,,,
Eucalyptus terminalis,T,,2.41,-0.046,0.367,,,,
Hakea arborescens,T,,2.60,-0.247,0.357,,,,
Lysiphyllum cunninghamii,T,,2.14,0.120,0.263,,,,
Cochlospermum fraseri,T,,2.07,0.149,0.216,,,,
Erythrophleum chlorostachys,T,,2.01,0.362,0.368,,,,
Eucalyptus miniata,T,,2.30,0.040,0.338,,,,
Eucalyptus nesophilla,T,,2.20,0.104,0.306,,,,
Eucalyptus tetrodonta,T,,2.34,0.040,0.381,,,,
Livistona humilis,T,,2.30,0.243,0.546,,,,
Eucalyptus brevifolia,T,,2.46,-0.045,0.420,,,,
Eucalyptus terminalis,T,,2.45,0.014,0.467,,,,
Hakea leucoptera,T,,3.17,-0.272,0.699,,,,
Lysiphyllum cunninghamii,T,,2.00,0.391,0.389,,,,
Terminalia arostrata,T,,2.36,0.029,0.385,,,,
Terminalia canescens,T,,2.28,-0.019,0.265,,,,
Acer rubrum,T,0.78,1.85,0.324,0.171,,,,
Alnus rugosa,T,0.78,1.96,0.403,0.361,,,,
Betula populifolia,T,0.78,1.77,0.253,0.020,,,,
Betula pumila,T,0.78,1.93,0.258,0.190,,,,
Comptonia peregrina,T,0.78,1.88,0.344,0.220,,,,
Kalmia angustifolia,T,1.26,2.08,0.086,0.165,,,,
Kalmia polifolia,T,1.26,2.15,0.114,0.268,,,,
Larix laricina,T,0.78,,0.107,,,,,
Picea glauca,T,1.48,,0.149,,,,,
Picea mariana,T,1.48,,0.009,,,,,
Pinus strobus,T,1.26,,0.086,,,,,
Populus tremuloides,T,0.78,1.96,0.288,0.249,,,,
Rubus hispidus,T,0.78,1.84,0.305,0.146,,,,
Salix fragilis,T,0.78,1.98,0.425,0.407,,,,
Thuja occidentalis,T,1.26,,0.107,,,,,
Ulmus americana,T,0.78,1.86,0.288,0.143,,,,
Beureria cumanensis,T,0.93,1.94,0.458,0.394,,,,
Coursetia arborea,T,0.78,1.57,0.498,0.070,,,,
Lonchocarpus dipteroneurus,T,0.85,1.62,0.611,0.227,,,,
Morisonia americana,T,1.08,2.17,0.418,0.586,,,,
Pithecellobium dulce,T,0.93,1.82,0.413,0.234,,,,
Pithecellobium ligustrinum,T,0.98,1.81,0.544,0.356,,,,
Aspidosperma album,T,,2.27,0.158,0.415,,,,
Catostemma sp,T,,2.33,0.015,0.342,,,,
Clusia sp,T,,2.33,0.037,0.362,,,,
Heteropteris sp,T,,2.22,0.148,0.362,,,,
Hirtella punctillata,T,,2.32,-0.275,0.045,,,,
Humiria balsamifera,T,,2.30,-0.161,0.140,,,,
Macairea rufescens,T,,2.36,-0.107,0.255,,,,
Mouriri incitheca,T,,2.57,-0.358,0.204,,,,
Ocotea esmereldana,T,,2.26,-0.100,0.041,,,,
Remijia morilloi,T,,2.55,-0.388,0.176,,,,
Retiniphyllum concolor,T,,2.21,-0.093,0.114,,,,
Rodognaphalopsis discolor,T,,2.57,-0.223,0.342,,,,
Eucalyptus foecunda,T,,2.52,-0.004,0.519,,,,
Eucalyptus incrassata,T,,2.66,-0.108,0.550,,,,
Eucalyptus baxteri,T,,2.40,-0.086,0.312,,,,
Eucalyptus obliqua,T,,2.36,-0.027,0.330,,,,
Adinandra dumosa,T,,2.04,,,,,,
Macaranga heynei,T,,1.83,,,,,,
Mallotus paniculatus,T,,1.83,,,,,,
Trema tomentosa,T,,1.69,,,,,,
Prosopis juliflora,T,,,,,,,,
Capparis odoratissima,T,,,,,,,,
Quercus macrocarpa,T,,1.97,0.373,0.354,,,,
Avicennia alba,T,,2.18,,,,,,
Avicennia lanata,T,,2.32,,,,,,
Bruguiera cylindrica,T,,2.06,,,,,,
Ceriops tagal,T,,2.28,,,,,,
Lumnitzera littorea,T,,2.39,,,,,,
Rhizophora apiculata,T,,2.31,,,,,,
Rhizophora mucronata,T,,2.28,,,,,,
Scyphiphora hydrophyllacea,T,,2.19,,,,,,
Sonneratia alba,T,,2.21,,,,,,
Cerbera manghas,T,,1.90,,,,,,
Hibiscus tiliaceus,T,,2.01,,,,,,
Planchonella obovata,T,,2.04,,,,,,
Terminalia catappa,T,,1.87,,,,,,
Thespesia populnea,T,,1.86,,,,,,
Tristaniopsis whiteana,T,,2.13,,,,,,
Adinandra dumosa,T,,2.24,,,,,,
Eugenia spicata,T,,2.02,,,,,,
Fagraea fragrans,T,,1.96,,,,,,
Myrica esculenta,T,,2.08,,,,,,
Rhodamnia cinerea,T,,2.14,,,,,,
Arthrophyllum diversifolium,T,,1.93,,,,,,
Claoxylon indicum,T,,1.72,,,,,,
Commersonia bartramia,T,,1.80,,,,,,
Ficus fistulosa,T,,1.97,,,,,,
Ficus grossularioides,T,,1.90,,,,,,
Ixonanthes reticulata,T,,2.14,,,,,,
Macaranga heynei,T,,1.90,,,,,,
Macaranga hypoleuca,T,,1.95,,,,,,
Mallotus paniculatus,T,,1.77,,,,,,
Sapium discolor,T,,1.85,,,,,,
Trema tomentosa,T,,1.88,,,,,,
Vitex pinnata,T,,2.00,,,,,,
Banksia attenuata,T,1.47,2.45,-0.090,0.364,,,,
Banksia menziesii,T,1.58,2.51,-0.096,0.413,,,,
Nuytsia floribunda,T,1.45,2.66,-0.119,0.543,,,,
Apollonias barbujana,T,,2.15,0.105,0.255,,,,
Arbutus canariensis,T,,2.16,0.093,0.250,,,,
Erica arborea,T,,2.12,0.093,0.212,,,,
Heberdenia bahamensis,T,,2.05,-0.032,0.022,,,,
Ilex canariensis,T,,2.20,-0.058,0.140,,,,
Ilex platyphylla,T,,2.15,0.130,0.277,,,,
Laurus azorica,T,,2.11,0.099,0.210,,,,
Myrica faya,T,,1.98,0.317,0.294,,,,
Ocotea foetens,T,,2.04,0.322,0.363,,,,
Persea indica,T,,2.07,0.185,0.260,,,,
Picconia excelsa,T,,2.24,0.134,0.376,,,,
Prunus lusitanica,T,,2.11,0.241,0.353,,,,
Rhamnus glandulosa,T,,2.09,0.219,0.311,,,,
Salix canariensis,T,,1.78,0.500,0.281,,,,
Visnea mocanera,T,,2.14,0.013,0.156,,,,
Juniperus phoenicea,T,,2.20,-0.075,0.124,,,,
Olea europaea,T,,2.29,0.250,0.544,,,,
Pinus canariensis,T,,1.84,0.095,-0.067,,,,
Alnus rhombifolia,T,,1.99,0.353,0.339,,,,
Quercus lobata,T,,2.12,0.311,0.429,,,,
Quercus keloggii,T,,2.07,0.198,0.269,,,,
Quercus douglasii,T,,2.10,0.235,0.337,,,,
Aesculus californica,T,,1.86,0.306,0.162,,,,
Salix laevigata,T,,2.08,0.265,0.349,,,,
Quercus agrifolia,T,,2.25,0.037,0.292,,,,
Arbutus menziesii,T,,2.16,0.084,0.241,,,,
Berberis ilicifolia,T,,2.31,0.069,0.382,,,,
Drimys winteri,T,,2.16,-0.057,0.107,,,,
Embothrium coccineum,T,,2.11,0.078,0.185,,,,
Maytenus magellanica,T,,2.14,0.000,0.135,,,,
Nothofagus antarctica,T,,1.96,0.383,0.348,,,,
Nothofagus betuloides,T,,2.18,0.106,0.284,,,,
Nothofagus pumilio,T,,1.74,0.350,0.086,,,,
Chilopsis linearis,T,,2.37,0.189,0.555,,,,
Carya tomentosa,T,,1.55,0.214,-0.231,,,,
Chionanthus virginicus,T,,1.54,0.245,-0.216,,,,
Cornus florida,T,,1.64,0.180,-0.185,,,,
Ilex opaca,T,,2.13,0.049,0.182,,,,
Liquidambar styraciflua,T,,1.85,0.162,0.016,,,,
Liriodendron tulipifera,T,,1.55,0.205,-0.244,,,,
Platanus occidentalis,T,,1.63,0.302,-0.065,,,,
Populus heterophylla,T,,1.84,0.381,0.224,,,,
Acer rubrum,T,,1.65,0.298,-0.055,,,,
Betula papyrifera,T,,1.93,0.279,0.206,,,,
Populus tremuloides,T,,1.91,0.270,0.180,,,,
Quercus rubra,T,,1.92,0.313,0.231,,,,
Juniperus communis,T,,2.18,-0.143,0.034,,,,
Juniperus oophora,T,,,-0.060,,,,,
Olea europaea,T,,2.30,0.193,0.491,,,,
Phillyrea angustifolia,T,,2.37,0.199,0.569,,,,
Pinus pinaster,T,,,-0.161,,,,,
Pistacia lentiscus,T,,2.34,0.405,0.740,,,,
Quercus rotundifolia,T,,2.23,0.248,0.475,,,,
Arbutus unedo,T,,2.19,0.004,0.193,,,,
Ceratonia siliqua,T,,2.30,0.117,0.417,,,,
Crataegus monogyna,T,,1.97,0.097,0.070,,,,
Ficus carica,T,,2.06,0.279,0.339,,,,
Frangula alnus,T,,1.85,0.362,0.212,,,,
Fraxinus angustifolia,T,,1.87,0.328,0.203,,,,
Fraxinus ornus,T,,2.19,0.305,0.500,,,,
Populus alba,T,,1.93,0.220,0.151,,,,
Pyrus bourgeana,T,,1.93,0.248,0.176,,,,
Quercus faginea,T,,2.04,0.225,0.263,,,,
Quercus pyrenaica,T,,1.89,0.286,0.175,,,,
Quercus suber,T,,2.15,0.279,0.429,,,,
Smilax aspera,T,,2.03,0.338,0.367,,,,
Anthonotha gracilliflora,T,,,0.336,,,,,
Anthonotha macrophylla,T,,,0.401,,,,,
Barteria fistulosa,T,,,0.369,,,,,
Berlinia auriculata,T,,,0.301,,,,,
Cissus producta,T,,,0.310,,,,,
Coula edulis,T,,,0.220,,,,,
Deidamia clematoides,T,,,0.444,,,,,
Dichostemma caloneura,T,,,0.554,,,,,
Dichostemma glaucens,T,,,0.346,,,,,
Diospyros dendo,T,,,0.140,,,,,
Diospyros hoyleana,T,,,0.246,,,,,
Garcinia mannii,T,,,0.121,,,,,
Garcinia ovalifolia,T,,,0.182,,,,,
Leptaulus daphnoides,T,,,0.217,,,,,
Librevillea klainei,T,,,0.190,,,,,
Lophira alata,T,,,0.241,,,,,
Mammea africana,T,,,0.140,,,,,
Protomegabaria tapfiana,T,,,0.228,,,,,
Rauvolfia vomitoria,T,,,0.417,,,,,
Trichoscypha patens,T,,,0.207,,,,,
Uapaca staudtii,T,,,0.225,,,,,
Bosqueia phoberos,T,,,0.382,,,,,
Cassipourea ruwenzoriensis,T,,,0.462,,,,,
Celtis africana,T,,,0.398,,,,,
Celtis durandii,T,,,0.476,,,,,
Chaetachme aristata,T,,,0.464,,,,,
Dombeya mukole,T,,,0.537,,,,,
Erythrina excelsa,T,,,0.487,,,,,
Funtumia latifolia,T,,,0.398,,,,,
Markhamia platycalyx,T,,,0.455,,,,,
Milletia dura,T,,,0.631,,,,,
Pancovia turbinata,T,,,0.352,,,,,
Parinari excelsa,T,,,0.270,,,,,
Strombosia scheffleri,T,,,0.456,,,,,
Teclea nobilis,T,,,0.458,,,,,
Carpinus caroliniana,T,0.89,1.64,0.362,0.006,,,,
Clethra mexicana,T,1.05,1.99,0.146,0.135,,,,
Liquidambar styraciflua,T,0.86,1.68,0.000,-0.324,,,,
Quercus xalapensis,T,0.98,1.84,0.255,0.100,,,,
Cinnamomum barbeyanum,T,1.36,1.90,0.204,0.107,,,,
Hedyosnium maxicanum,T,0.85,1.67,0.322,-0.011,,,,
Magnolia schiedeana,T,1.56,1.99,0.322,0.314,,,,
Oreopanax xalapensis,T,1.28,2.04,0.279,0.320,,,,
Turpinia insignis,T,1.17,1.89,0.190,0.076,,,,
Acacia floribunda,T,1.13,2.10,0.363,0.462,,,,
Allocasuarina sp,T,,2.26,0.121,0.287,,,,
Eucalyptus paniculata,T,1.12,2.08,0.035,0.113,,,,
Eucalyptus umbra,T,1.39,2.31,-0.040,0.273,,,,
Persoonia linearis,T,1.61,2.16,-0.116,0.039,,,,
Synoum glandulosum,T,1.07,1.96,0.201,0.165,,,,
Syncarpia glomulifera,T,1.36,2.17,-0.007,0.165,,,,
